0,2150
2.2,750
3,950
3.6,900
3.8,1025
4.6,1025
5.6,975
6.6,950
6.8,925
7.6,850
9.2,775
9.6,750
10.6,700
11.6,650
12.2,625
12.6,600
13.2,575
13.6,550
14.6,500
15.8,450
17.2,400
18.2,350
19.1,300
20.1,300
20.6,275
21.6,250
23,225
23.8,200
26.3,150
29.6,75
34,50
38.8,25
51.2,0
38.8,25
51.2,0
